title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,Genre,language_code_label,publication_year,title_label,authors_label,publisher_label,Genre_label
In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335.0,72451,4245,2001-05-15,Broadway Books,Non-fiction,2,2001.0,3438,600,323,6
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304.0,49240,2211,2000-06-28,Broadway Books,History & Biography,2,2000.0,3371,600,323,4
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299.0,45712,2257,1990-08-28,William Morrow Paperbacks,Non-fiction,2,1990.0,8054,600,2191,6
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254.0,48701,2238,1993-03-28,William Morrow Paperbacks,Non-fiction,2,1993.0,4788,600,2191,6
Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324.0,80609,3301,1997-05-28,William Morrow Paperbacks,Non-fiction,2,1997.0,4910,600,2191,6
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270.0,28489,2085,1991-09-28,William Morrow Paperbacks,Non-fiction,2,1991.0,8220,600,2191,6
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728.0,101233,1550,2012-09-25,Ballantine Books,Fantasy & paranormal,2,2012.0,3584,2610,186,2
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184.0,1710,91,2004-10-21,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2004.0,8035,2610,978,2
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398.0,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2003.0,7475,2610,978,2
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,eng,1216.0,1618,140,2002-10-01,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2002.0,8035,2611,978,2
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218.0,19822,46,2003-11-05,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2003.0,8048,932,978,2
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224.0,359,6,2004-11-15,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2004.0,8042,3324,978,2
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558.0,1430,59,2005-07-28,Pragmatic Bookshelf,Non-fiction,2,2005.0,437,1192,1573,6
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208.0,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,Children,2,2000.0,3058,1990,134,0
Hatchet: A Guide for Using Hatchet in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,eng,48.0,36,2,1994-08-28,Teacher Created Resources,Other,2,1994.0,3060,1426,1916,7
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144.0,2067,334,2001-01-23,Delacorte Press,History & Biography,2,2001.0,2964,1990,525,4
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,eng,56.0,6,0,2003-06-10,Cherry Lane Music Company,Other,2,2003.0,4554,4443,383,7
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,eng,228.0,99,16,2005-11-01,The New Press,Non-fiction,2,2005.0,3059,1088,1941,6
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304.0,167,4,2005-11-01,Changeling Press,Fantasy & paranormal,2,2005.0,72,259,371,2
Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256.0,978,111,2006-08-17,Viking Juvenile,Fantasy & paranormal,2,2006.0,1314,1341,2087,2
The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137.0,4454,302,2003-04-14,Firebird,Fantasy & paranormal,2,2003.0,6969,4737,695,2
The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228.0,1176,96,2004-06-08,iUniverse,Children,2,2004.0,6967,6561,2235,0
The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339.0,301,43,2005-04-12,Shambhala,History & Biography,2,2005.0,6967,3465,1776,4
The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369.0,345,12,1990-08-28,Ivy Books,History & Biography,2,1990.0,6968,4925,1032,4
The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388.0,29686,2626,2006-08-29,Amistad,History & Biography,2,2006.0,7885,1568,83,4
The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,eng,14.0,55,12,2004-06-15,HarperAudio,History & Biography,2,2004.0,7885,1569,876,4
The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576.0,22,3,2004-06-15,Harper,History & Biography,2,2004.0,7885,1568,859,4
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334.0,1456,82,2006-05-15,FT Press,Non-fiction,2,2006.0,9465,5514,659,6
Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352.0,52,4,2005-12-14,Archaia,Fantasy & paranormal,2,2005.0,702,4070,105,2
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416.0,562,37,1982-06-01,Farrar  Straus and Giroux,Non-fiction,2,1982.0,7845,3169,674,6
Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,eng,248.0,1630,203,2006-05-16,Farrar Straus Giroux,Non-fiction,2,2006.0,9628,3168,678,6
Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128.0,268,22,1986-04-01,Farrar  Straus and Giroux,Non-fiction,2,1986.0,3103,3168,674,6
The Control of Nature,John McPhee,4.24,0374522596,9780374522599,eng,288.0,3498,305,1990-09-01,Farrar  Straus and Giroux,Non-fiction,2,1990.0,7147,3168,674,6
Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720.0,3115,228,1999-01-06,Farrar  Straus and Giroux,History & Biography,2,1999.0,625,3168,674,4
Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448.0,5704,261,1991-04-01,Farrar  Straus and Giroux,Non-fiction,2,1991.0,1543,3168,674,6
La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160.0,698,52,1994-04-01,Farrar  Straus and Giroux,History & Biography,4,1994.0,3854,3168,674,4
Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288.0,542,36,1994-04-01,Farrar  Straus and Giroux,Non-fiction,2,1994.0,2839,3168,674,6
Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208.0,1341,98,1987-11-01,Farrar  Straus and Giroux,History & Biography,2,1987.0,5659,3168,674,4
The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81.0,1423,70,2002-03-01,Dramatists Play Service,Fiction,2,2002.0,7697,6331,588,3
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249.0,2766,64,1991-07-02,Vintage,Fiction,2,1991.0,7698,6331,2094,3
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,eng,138.0,31,1,2006-03-29,Routledge,Other,2,2006.0,392,2322,1697,7
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,eng,128.0,62,4,2006-03-14,North Light Books,Non-fiction,2,2006.0,6027,2320,1353,6
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192.0,860,53,2003-09-01,Chosen Books,History & Biography,2,2003.0,515,2318,391,4
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,eng,108.0,77,2,1997-01-28,Association for Supervision & Curriculum Development,Other,2,1997.0,4313,2322,129,7
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352.0,153317,2257,2002-11-15,Kingfisher,Children,2,2002.0,3102,3060,1070,0
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,eng,192.0,55,5,2004-11-15,ASCD,Other,2,2004.0,2796,2322,12,7
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,eng,192.0,34,6,2003-04-28,Sovereign World,Other,2,2003.0,9281,5368,1841,7
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832.0,11797,659,2003-10-16,Workman Publishing Company,Non-fiction,2,2003.0,9876,2324,2204,6
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123.0,34,8,2004-05-10,One Hour Entertainment,Comics & Graphic,2,2004.0,8442,2321,1378,1
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,eng,128.0,78,4,2004-08-19,North Light Books,Non-fiction,2,2004.0,6028,2320,1353,6
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423.0,2785,166,1987-06-15,Ace Books,Fantasy & paranormal,2,1987.0,2855,1859,28,2
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436.0,38778,568,1987-07-01,Ace Books,Fiction,2,1987.0,1318,1859,28,3
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331.0,97494,2359,1987-07-15,Ace Books,Fantasy & paranormal,2,1987.0,2105,1859,28,2
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,eng,592.0,784,21,2004-07-01,Tor Books,History & Biography,2,2004.0,2077,685,1980,4
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480.0,272,20,1984-04-16,Putnam,Fiction,2,1984.0,3149,1859,1606,3
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426.0,4789,83,2006-08-29,Tor Science Fiction,Fiction,2,2006.0,8648,1860,1983,3
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471.0,45388,644,1987-08-15,Ace Books,Fiction,2,1987.0,3150,1859,28,3
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192.0,26153,102,2002-06-12,Houghton Mifflin Harcourt,Fantasy & paranormal,2,2002.0,8044,1992,978,2
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544.0,69167,4551,1996-09-29,Ballantine Books,Fiction,2,1996.0,8489,725,186,3
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291.0,45,13,2005-09-13,Delacorte Books for Young Readers,Fiction,2,2005.0,8489,725,524,3
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,eng,256.0,16,1,2004-11-01,Thomas Nelson,Non-fiction,2,2004.0,8490,3090,1948,6
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205.0,174,16,2006-05-19,Wiley,Non-fiction,2,2006.0,5391,1184,2175,6
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,eng,240.0,10,0,2000-02-07,Heinemann Drama,Other,2,2000.0,8491,3829,939,7
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336.0,76,9,2005-05-03,William Morrow Paperbacks,Other,2,2005.0,3290,18,2191,7
eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386.0,111,9,2006-10-30,Wiley,Non-fiction,2,2006.0,10204,4116,2175,6
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,eng,260.0,24,0,2006-01-24,McGraw-Hill,Other,2,2006.0,9877,946,1225,7
Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384.0,55,4,2004-09-17,Wiley,Non-fiction,2,2004.0,6248,4116,2175,6
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,eng,260.0,9,0,2006-06-06,Wiley,Other,2,2006.0,10205,3358,2175,7
ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,eng,391.0,22,1,2004-05-31,Wiley,Non-fiction,2,2004.0,10206,4116,2175,6
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,eng,864.0,17,3,2005-04-25,Wiley,Non-fiction,2,2005.0,10203,4116,2175,6
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873.0,166,4,2006-07-29,O'Reilly Media,Non-fiction,2,2006.0,5711,3852,1366,6
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240.0,50,5,2005-05-03,Citadel,Non-fiction,2,2005.0,5710,5403,399,6
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206.0,13,2,2005-05-03,Citadel,Non-fiction,2,2005.0,5709,5403,399,6
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,eng,514.0,64,1,2007-01-01,O'Reilly Media,Other,2,2007.0,5512,5199,1366,7
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838.0,16643,1851,2004-05-31,Penguin Classics,Fiction,2,2004.0,624,3719,1477,3
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960.0,109420,5696,2002-11-05,Signet,Fiction,2,2002.0,624,3712,1788,3
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837.0,2904,309,2003-01-30,Penguin Books,Fiction,2,2003.0,624,3720,1460,3
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80.0,16,3,1965-11-26,Cliffs Notes,Other,2,1965.0,1463,4006,413,7
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803.0,9564,726,2003-07-01,Barnes & Noble Classics,Fiction,2,2003.0,624,3705,214,3
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752.0,474,72,2004-11-23,Dover Publications,Fiction,2,2004.0,624,3715,580,3
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803.0,303,48,2004-08-26,Barnes & Noble,Fiction,2,2004.0,624,3711,212,3
Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360.0,411,65,2006-01-28,Mira Books,Fiction,2,2006.0,1948,2136,1261,3
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128.0,1204,33,1987-11-26,Cambridge University Press,Fiction,2,1987.0,9433,360,341,3
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160.0,3429,279,1990-07-03,Penguin Books,Fiction,2,1990.0,9669,4454,1460,3
The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367.0,2163,216,1998-06-30,Vintage,Fiction,2,1998.0,9071,3080,2094,3
The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256.0,613,31,1996-02-01,Buccaneer Books,History & Biography,2,1996.0,9072,1613,329,4
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,320.0,308,40,2005-09-27,Scribner,History & Biography,2,2005.0,9670,4491,1755,4
Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,eng,100.0,10,0,1995-01-28,Clarity Press,Other,2,1995.0,1725,6175,407,7
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224.0,16,4,2000-12-20,Rowman & Littlefield Publishers,Non-fiction,2,2000.0,2946,6180,1702,6
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216.0,10,0,2003-09-22,Pearson,Other,2,2003.0,7429,541,1446,7
A Wrinkle in Time: A Guide for Using A Wrinkle in Time in the Classroom,John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,eng,48.0,17,0,1991-09-28,Teacher Created Resources,Other,2,1991.0,356,3091,1916,7
Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360.0,1035,23,1994-10-01,Harper Perennial,Non-fiction,2,1994.0,10093,2087,868,6
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250.0,36,6,2002-05-01,EMC/Paradigm Publishing,Non-fiction,2,2002.0,357,3899,602,6
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32.0,15,0,2002-01-01,Teaching Resources,Other,2,2002.0,4081,5937,1920,7
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0,0606105263,9780606105262,spa,205.0,6,1,1984-06-01,Turtleback Books,Non-fiction,18,1984.0,9618,3899,2001,6
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367.0,376,17,1994-06-01,Little  Brown Book Group,History & Biography,2,1994.0,8025,1061,1137,4
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352.0,3086,237,2006-01-03,William Morrow,History & Biography,2,2006.0,189,896,2184,4
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,eng,320.0,352,44,2005-11-01,Atria Books,Non-fiction,2,2005.0,4127,1801,142,6
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331.0,9852,633,2006-03-07,Tor Books,Fantasy & paranormal,2,2006.0,284,1115,1980,2
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,244.0,821,78,2004-08-10,Vintage Crime/Black Lizard,Mystery & Thriller,2,2004.0,4804,901,2102,5
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215.0,731,72,2005-03-08,Vintage Crime/Black Lizard,Mystery & Thriller,2,2005.0,6010,902,2102,5
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191.0,2897,178,2004-08-10,Vintage Crime/Black Lizard,Mystery & Thriller,2,2004.0,4473,900,2102,5
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144.0,98,11,1990-10-03,Vintage,Mystery & Thriller,2,1990.0,6894,899,2094,5
I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738.0,20888,1688,2005-08-30,Picador USA,Fiction,2,2005.0,3366,6109,1519,3
Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48.0,66,19,2001-10-01,Sterling,Other,2,2001.0,5351,1565,1875,7
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,287.0,81,6,1996-10-03,Puffin,Children,2,1996.0,8531,4980,1598,0
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,eng,217.0,981,52,1964-02-01,New Directions Publishing,Non-fiction,2,1964.0,3130,2368,1317,6
Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,eng,154.0,3381,141,1994-01-13,Grove Press,Fiction,2,1994.0,5487,2366,799,3
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,9780802131782,eng,318.0,53206,2376,1994-01-06,Grove Press,Fiction,2,1994.0,9522,2367,799,3
Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,eng,348.0,14872,459,1994-01-13,Grove Press,Fiction,2,1994.0,9523,2366,799,3
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9780802151780,eng,316.0,3261,58,1994-01-13,Grove Press,Fiction,2,1994.0,4821,2366,799,3
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9780802151803,eng,506.0,7805,251,1994-01-12,Grove Press,Fiction,2,1994.0,5915,2366,799,3
The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,eng,292.0,2699,142,1970-01-17,New Directions,Fiction,2,1970.0,6566,2366,1316,3
The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,9780141439631,eng,797.0,61640,1951,2003-09-30,Penguin Classics,Fiction,2,2003.0,8478,2359,1477,3
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,eng,635.0,392,41,2004-01-16,Barnes  Noble Classics,Fiction,2,2004.0,8478,2353,211,3
Writing,Marguerite Duras,3.75,1571290532,9781571290533,eng,91.0,778,44,1999-05-06,Brookline Books,Non-fiction,2,1999.0,10095,3992,326,6
The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9781565842212,eng,192.0,963,65,1994-08-01,The New Press,History & Biography,2,1994.0,9120,3993,1941,4
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,eng,181.0,2057,128,1986-03-12,Pantheon,Fiction,2,1986.0,8571,3994,1428,3
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9781851681822,eng,178.0,203,8,1999-07-01,One World (UK),Poetry,2,1999.0,4182,3405,1379,8
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,eng,464.0,35,2,1998-04-01,Interlink Publishing Group,History & Biography,2,1998.0,3741,2881,1020,4
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,eng,102.0,328,16,1998-01-01,Penguin Books,Poetry,2,1998.0,6724,3404,1460,8
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9780394431246,eng,216.0,1308,82,1995-02-21,Knopf,Poetry,2,1995.0,3642,3406,1073,8
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9780806501901,eng,132.0,6432,517,2003-03-03,Citadel,Poetry,2,2003.0,6872,3407,399,8
